article1_id,article2_id,ad1_id,ad2_id,score
65,35,3,3,0.8298895359039307
44,16,3,3,0.6546004414558411
82,49,3,3,0.7554913759231567
85,84,3,3,0.8759332299232483
83,86,3,3,0.7130706310272217
6,24,3,3,0.6867318153381348
42,89,3,3,0.8670159578323364
48,78,3,3,0.7554601430892944
7,93,3,3,0.7793669700622559
59,7,3,3,0.76646488904953
34,55,3,3,0.8176371455192566
58,31,3,3,0.7947164177894592
56,36,3,3,0.7543511986732483
32,17,3,3,0.7999000549316406
1,66,3,3,0.8430834412574768
83,75,3,3,0.682996928691864
38,41,3,3,0.7773868441581726
13,92,3,3,0.8070674538612366
51,5,3,3,0.8449344635009766
50,5,3,3,0.7662696242332458
91,16,3,3,0.7371343970298767
27,71,3,3,0.7895147800445557
92,80,3,3,0.794490396976471
80,63,3,3,0.7575867772102356
85,95,3,3,0.7697288990020752
71,90,3,3,0.793084442615509
95,85,3,3,0.7697288990020752
40,17,3,3,0.7914144396781921
1,95,3,3,0.7716417908668518
22,17,3,3,0.7685914635658264
18,37,3,3,0.7561683654785156
32,52,3,3,0.8228043913841248
13,41,3,3,0.7818386554718018
26,57,3,3,0.8103569149971008
58,81,3,3,0.7692861557006836
59,39,3,3,0.8008650541305542
7,74,3,3,0.7290505766868591
28,3,3,3,0.840468168258667
31,63,3,3,0.7801060080528259
19,55,3,3,0.7790248394012451
57,4,3,3,0.757515549659729
81,48,3,3,0.8319326639175415
11,51,3,3,0.8584805727005005
31,33,3,3,0.8112362027168274
62,55,3,3,0.7842339277267456
74,43,3,3,0.7089084982872009
71,39,3,3,0.7537550330162048
51,34,3,3,0.8215614557266235
95,48,3,3,0.8104971051216125
90,14,3,3,0.8255040049552917
11,84,3,3,0.9059601426124573
17,15,3,3,0.7619996666908264
86,12,3,3,0.7702069878578186
88,22,3,3,0.7897589206695557
1,31,3,3,0.8396078944206238
9,4,3,3,0.7189246416091919
0,75,3,3,0.695574939250946
29,61,3,3,0.8143913745880127
4,52,3,3,0.7362653613090515
73,88,3,3,0.8433845639228821
72,75,3,3,0.7391933798789978
87,12,3,3,0.851429283618927
11,70,3,3,0.8740504384040833
79,50,3,3,0.7712486386299133
15,57,3,3,0.757719099521637
91,74,3,3,0.7915559411048889
13,48,3,3,0.8168343305587769
59,29,3,3,0.7931129336357117
78,52,3,3,0.8349584341049194
58,90,3,3,0.8639163970947266
47,81,3,3,0.750032365322113
49,34,3,3,0.7335421442985535
70,88,3,3,0.8036583662033081
64,73,3,3,0.781518816947937
56,73,3,3,0.7959636449813843
6,40,3,3,0.8723632097244263
35,39,3,3,0.8218698501586914
8,53,3,3,0.7123976945877075
72,71,3,3,0.752038836479187
36,91,3,3,0.7551834583282471
0,64,3,3,0.7563913464546204
4,25,3,3,0.7209599614143372
53,80,3,3,0.7944484949111938
24,82,3,3,0.7365080118179321
23,6,3,3,0.8305878639221191
42,51,3,3,0.8579248785972595
54,39,3,3,0.8133725523948669
58,79,3,3,0.8515915870666504
62,18,3,3,0.8209772109985352
81,22,3,3,0.7918744683265686
56,36,3,3,0.7543511986732483
20,93,3,3,0.7177765369415283
29,38,3,3,0.8250911235809326
37,87,3,3,0.752443790435791
30,89,3,3,0.7988506555557251
43,47,3,3,0.7835549116134644
60,55,3,3,0.8299246430397034
45,76,3,3,0.7543578147888184
47,9,3,3,0.7772561311721802
22,93,3,3,0.7367257475852966
74,83,3,3,0.6933658719062805
53,48,3,3,0.7591525912284851
53,41,3,3,0.6800063252449036
72,36,3,3,0.8843305706977844
81,83,3,3,0.7529032826423645
20,62,3,3,0.8170578479766846
18,0,3,3,0.7891503572463989
47,37,3,3,0.7724944353103638
2,53,3,3,0.6644607782363892
95,26,3,3,0.7078431248664856
36,48,3,3,0.7531780004501343
56,94,3,3,0.7843737602233887
59,78,3,3,0.7229244709014893
51,78,3,3,0.7905929088592529
32,52,3,3,0.8228043913841248
3,11,3,3,0.751803457736969
63,31,3,3,0.7801060080528259
77,14,3,3,0.8130831718444824
4,23,3,3,0.7630823254585266
91,54,3,3,0.8365649580955505
71,74,3,3,0.7099545001983643
57,36,3,3,0.7835532426834106
35,73,3,3,0.7528608441352844
38,76,3,3,0.753229022026062
92,59,3,3,0.7632668018341064
27,72,3,3,0.8576874732971191
87,19,3,3,0.769197940826416
81,60,3,3,0.7946435213088989
31,57,3,3,0.8129173517227173
66,90,3,3,0.7961887717247009
47,12,3,3,0.8729509711265564
17,39,3,3,0.8257120847702026
15,26,3,3,0.7999677062034607
78,43,3,3,0.732151448726654
72,44,3,3,0.6957334876060486
84,77,3,3,0.8191662430763245
81,47,3,3,0.750032365322113
26,38,3,3,0.801285982131958
64,78,3,3,0.8244092464447021
36,76,3,3,0.7482853531837463
55,80,3,3,0.8403677940368652
21,60,3,3,0.7803777456283569
26,14,3,3,0.8225197792053223
47,39,3,3,0.7837023735046387
83,55,3,3,0.8382506370544434
42,27,3,3,0.8326907157897949
94,18,3,3,0.7206034064292908
49,66,3,3,0.7556244134902954
63,33,3,3,0.7717803120613098
52,91,3,3,0.7657603025436401
54,71,3,3,0.7360321879386902
23,81,3,3,0.7924032211303711
20,19,3,3,0.8123537302017212
71,12,3,3,0.8017154932022095
6,86,3,3,0.7020888924598694
88,14,3,3,0.8986681699752808
33,72,3,3,0.7904210686683655
81,22,3,3,0.7918744683265686
94,56,3,3,0.7843737602233887
77,48,3,3,0.7423754930496216
72,77,3,3,0.8096798062324524
94,80,3,3,0.8348760008811951
94,39,3,3,0.7779359817504883
66,27,3,3,0.8456022143363953
89,40,3,3,0.8827575445175171
86,54,3,3,0.7610579133033752
32,50,3,3,0.8175643682479858
22,61,3,3,0.7661675214767456
37,27,3,3,0.8027588725090027
49,0,3,3,0.7298351526260376
90,10,3,3,0.8103630542755127
36,75,3,3,0.7042728662490845
94,70,3,3,0.7933620810508728
70,33,3,3,0.8131539225578308
6,77,3,3,0.7967979311943054
23,44,3,3,0.7067621350288391
47,22,3,3,0.7870377898216248
26,73,3,3,0.7916160225868225
23,91,3,3,0.7743808627128601
49,5,3,3,0.7127140760421753
80,64,3,3,0.7863448858261108
50,81,3,3,0.778889000415802
41,87,3,3,0.788938581943512
45,21,3,3,0.8808377385139465
90,24,3,3,0.7725086212158203
49,33,3,3,0.7422182559967041
33,3,3,3,0.7198907136917114
84,53,3,3,0.7302900552749634
28,93,3,3,0.713376522064209
85,49,3,3,0.7576696276664734
19,74,3,3,0.7228733897209167
90,79,3,3,0.8518079519271851
4,62,3,3,0.7642263174057007
7,61,3,3,0.7533029913902283
10,40,3,3,0.7932925224304199
61,75,3,3,0.8626694679260254
75,49,3,3,0.676318883895874
37,39,3,3,0.782444417476654
9,24,3,3,0.7355541586875916
44,71,3,3,0.6944602727890015
0,77,3,3,0.7340270280838013
50,65,3,3,0.7975389361381531
63,47,3,3,0.77961266040802
53,66,3,3,0.7457648515701294
65,67,3,3,0.7251901030540466
33,61,3,3,0.7445617914199829
72,38,3,3,0.8072980642318726
40,52,3,3,0.8311928510665894
73,15,3,3,0.7440170049667358
71,0,3,3,0.7422791123390198
8,91,3,3,0.8227569460868835
46,88,3,3,0.8570630550384521
39,33,3,3,0.7754434943199158
79,49,3,3,0.7594947814941406
78,37,3,3,0.7352119088172913
11,28,3,3,0.7935469746589661
40,26,3,3,0.8033106923103333
33,46,3,3,0.8519492149353027
92,71,3,3,0.8171184659004211
31,42,3,3,0.8276597261428833
22,64,3,3,0.7774250507354736
25,63,3,3,0.7710054516792297
18,68,3,3,0.8242719173431396
43,38,3,3,0.7553623914718628
68,91,3,3,0.7664296627044678
40,84,3,3,0.8205891251564026
80,10,3,3,0.8640443086624146
85,33,3,3,0.8415389657020569
7,21,3,3,0.8799159526824951
5,39,3,3,0.782620906829834
29,55,3,3,0.837617814540863
32,9,3,3,0.8882212042808533
28,63,3,3,0.797508180141449
28,80,3,3,0.7649785876274109
81,94,3,3,0.7637439370155334
47,68,3,3,0.7793084979057312
37,3,3,3,0.7113322615623474
36,69,3,3,0.790855884552002
95,46,3,3,0.737157940864563
64,77,3,3,0.8143650889396667
78,37,3,3,0.7352119088172913
71,84,3,3,0.8553352952003479
76,51,3,3,0.7479817867279053
26,11,3,3,0.84324711561203
55,56,3,3,0.7897350192070007
93,3,3,3,0.69598788022995
46,80,3,3,0.7870602011680603
53,55,3,3,0.7839373350143433
55,57,3,3,0.8228781223297119
18,8,3,3,0.7684213519096375
72,90,3,3,0.8116274476051331
45,38,3,3,0.9169697165489197
78,70,3,3,0.7676846981048584
32,26,3,3,0.8454508185386658
50,43,3,3,0.767353355884552
68,54,3,3,0.7695661187171936
15,95,3,3,0.7248952984809875
39,57,3,3,0.8103477954864502
35,92,3,3,0.7748573422431946
65,22,3,3,0.7122002840042114
35,56,3,3,0.8560097813606262
82,51,3,3,0.7852601408958435
3,88,3,3,0.7329761385917664
62,5,3,3,0.7440447211265564
6,58,3,3,0.7941260933876038
2,79,3,3,0.7341101169586182
13,7,3,3,0.8320026397705078
71,34,3,3,0.7892159223556519
85,57,3,3,0.8476219773292542
68,48,3,3,0.8593710660934448
94,15,3,3,0.7310256958007812
72,49,3,3,0.701979398727417
14,31,3,3,0.8402410745620728
95,89,3,3,0.7687171697616577
46,81,3,3,0.8143917918205261
46,15,3,3,0.8017821907997131
67,86,3,3,0.7735867500305176
77,56,3,3,0.756578803062439
32,46,3,3,0.8776394128799438
70,69,3,3,0.7962238788604736
90,26,3,3,0.8381574749946594
45,85,3,3,0.8544586896896362
37,8,3,3,0.7471659779548645
82,63,3,3,0.7411470413208008
5,14,3,3,0.8426402807235718
24,69,3,3,0.7770441174507141
66,72,3,3,0.8439878225326538
75,32,3,3,0.7410171627998352
62,36,3,3,0.7811271548271179
51,45,3,3,0.8739665746688843
0,61,3,3,0.7094419002532959
54,23,3,3,0.7900927066802979
65,52,3,3,0.7082938551902771
43,48,3,3,0.790010929107666
9,34,3,3,0.773932933807373
22,26,3,3,0.7622827887535095
60,44,3,3,0.6758383512496948
30,79,3,3,0.6813696026802063
69,16,3,3,0.7954667210578918
12,51,3,3,0.8537811636924744
24,10,3,3,0.7809095978736877
20,42,3,3,0.7881258130073547
91,5,3,3,0.7399275898933411
20,10,3,3,0.7512177228927612
87,56,3,3,0.8259567618370056
36,62,3,3,0.7811271548271179
76,12,3,3,0.7512384057044983
61,92,3,3,0.7806957960128784
1,9,3,3,0.8873337507247925
91,27,3,3,0.8444535136222839
1,27,3,3,0.8611863851547241
61,17,3,3,0.7837099432945251
45,44,3,3,0.7018381357192993
26,47,3,3,0.7494975328445435
43,50,3,3,0.767353355884552
72,5,3,3,0.8640111684799194
95,58,3,3,0.7129790186882019
49,45,3,3,0.6965267062187195
47,92,3,3,0.8073562979698181
61,26,3,3,0.7780972719192505
45,65,3,3,0.715349555015564
55,93,3,3,0.769738495349884
79,5,3,3,0.7696096897125244
15,44,3,3,0.7679331302642822
91,90,3,3,0.7715082764625549
87,37,3,3,0.752443790435791
43,77,3,3,0.8279607892036438
10,64,3,3,0.7652003765106201
33,16,3,3,0.8519425392150879
62,52,3,3,0.7227506041526794
49,17,3,3,0.7778030037879944
44,57,3,3,0.6830679178237915
18,93,3,3,0.7563648819923401
40,42,3,3,0.8147397041320801
78,13,3,3,0.8267309069633484
12,50,3,3,0.8597256541252136
92,93,3,3,0.7564990520477295
28,35,3,3,0.8404508829116821
60,81,3,3,0.7946435213088989
0,77,3,3,0.7340270280838013
35,46,3,3,0.7915228605270386
52,71,3,3,0.7515411972999573
7,37,3,3,0.8091407418251038
48,71,3,3,0.7828401923179626
49,11,3,3,0.7850360870361328
17,21,3,3,0.7798994183540344
48,13,3,3,0.8168343305587769
20,22,3,3,0.7893019318580627
71,16,3,3,0.7665091753005981
57,63,3,3,0.8069666028022766
14,77,3,3,0.8130831718444824
9,91,3,3,0.774877667427063
53,17,3,3,0.7512226700782776
5,25,3,3,0.8526874780654907
63,50,3,3,0.7560351490974426
4,67,3,3,0.7025951147079468
94,33,3,3,0.7808189988136292
