Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
5766,Bipto Teddy Bear Face Sling Bag Cute Soft & Fluffy Sling Bags For Girls Kids Cute Shaped Penguin Faux Fur side bags Crossb...,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/81qRh+EFduL._AC_UL320_.jpg,https://www.amazon.in/Bipto-Penguin-Crossbody-Shoulder-handbags/dp/B0BB7GMHV5/ref=sr_1_5771?qid=1679144078&s=luggage&sr=1-5771,5.0,3,₹499,₹999
5000,AS Store Customize Faux Leather Wallet for Men with Personalized Font Name and Charm Gift for Your Loved Once. (Brown),accessories,Bags & Luggage,https://m.media-amazon.com/images/I/51KbTwNxhIL._AC_UL320_.jpg,https://www.amazon.in/AS-Store-Customize-Leather-Personalized/dp/B0BT8GSDJY/ref=sr_1_5005?qid=1679144053&s=luggage&sr=1-5005,,,₹499,"₹1,499"
16760,Skybags Camp 45L Unisex Adjustable Strap Polyester Red Rucksacks,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/817TrztjUyL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Unisex-Adjustable-Polyester-Rucksacks/dp/B0BJ7VVL38/ref=sr_1_16813?qid=1679144448&s=luggage&sr=1-16813,,,"₹2,499","₹5,100"
18732,JEH BAGS Cotton Canvas Jute Side Bags|Sling Zip Bag|Adjustable Strap cross body bag|Medium Printed Shoulder Bag,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/41LNW4yxIeL._AC_UL320_.jpg,https://www.amazon.in/Cotton-Canvas-Cross-Sling-Medium/dp/B09KLYZY85/ref=sr_1_18785?qid=1679144513&s=luggage&sr=1-18785,5.0,2,₹395,₹499
3739,"Hookcart 25mm Tiny Small Brass Lock and Key, Padlocks for Luggage, Suitcase, Baggage Lock, International Locks for Luggage...",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/41q-U9NLT4L._AC_UL320_.jpg,https://www.amazon.in/HookcartTM-Padlocks-Suitcase-International-Travelling/dp/B09N1TP7Q3/ref=sr_1_3748?qid=1679144010&s=luggage&sr=1-3748,4.3,39,₹299,₹499
8189,abrazo Watch Storage Box Display Case Organizer with Faux Leather Finish with 6 Slots Croc Red color,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51vWjc8Uk1L._AC_UL320_.jpg,https://www.amazon.in/Abrazo-Storage-Display-Organizer-Leather/dp/B081Z7XG6Z/ref=sr_1_8198?qid=1679144166&s=luggage&sr=1-8198,4.5,15,₹699,"₹2,999"
10562,Trendifly 4 Set Transparent Travel Toiletry Pouch Makeup Cosmetic Bag Organiser Jewellery Organize for Travelling for Men ...,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/816T6Hx6k5L._AC_UL320_.jpg,https://www.amazon.in/Trendifly-Transparent-Travelling-Stationery-Accessories/dp/B0BQYGYPSK/ref=sr_1_10567?qid=1679144243&s=luggage&sr=1-10567,5.0,2,₹369,₹599
8095,"Skybags Active Polyester Duffle Bag (Blue, Free Size)",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/51KIhRU9BoL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Active-Polyester-Duffle-Blue/dp/B0BBTWTTL9/ref=sr_1_8104?qid=1679144163&s=luggage&sr=1-8104,4.6,3,"₹1,299","₹2,200"
6731,DMS RETAIL Embroidered Daily Use Clutch Purse For Women Return Gift Favour For Women Pack Of 4,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/610V8+7yoLL._AC_UL320_.jpg,https://www.amazon.in/DMS-RETAIL-Embroidered-Clutch-Return/dp/B0897FH9DC/ref=sr_1_6736?qid=1679144114&s=luggage&sr=1-6736,4.0,3,₹299,₹500
2051,"AQVA Printed Cotton Canvas Water Resistant Tote Bag for Women & Men - Reusable Shoulder Bag with Full Top Zipper, Inner Po...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81r4DZ1My0L._AC_UL320_.jpg,https://www.amazon.in/AQVA-Womens-Tote-Bag-Black/dp/B08CFLDDYW/ref=sr_1_2060?qid=1679143956&s=luggage&sr=1-2060,4.1,692,₹641,"₹1,099"
8598,Faux Leather Briefcase with Combo digit Locking Features and inner Mesh Pocket Medium Briefcase - For Men & Women (Maroon),accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/413pt9qi7HL._AC_UL320_.jpg,https://www.amazon.in/Leather-Briefcase-Locking-Features-Pocket/dp/B09SHM9PQY/ref=sr_1_8603?qid=1679144180&s=luggage&sr=1-8603,3.0,15,"₹1,499","₹5,999"
9291,Fastrack Women's Tan Satchel,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/71PdCu47KGL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-A4028PTN01-Womens-Tan-Satchel/dp/B0B2592GLS/ref=sr_1_9300?qid=1679144202&s=luggage&sr=1-9300,3.5,2,"₹2,299","₹3,825"
14372,Hidesign Autumn-Winter Black Leather Men's Passport Holder (8903439781095),accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81xno34+7wL._AC_UL320_.jpg,https://www.amazon.in/Hidesign-Passport-Wallet-486-RF/dp/B07XM85P33/ref=sr_1_14429?qid=1679144371&s=luggage&sr=1-14429,4.4,5,,"₹2,595"
8370,"My Fav 3D Printed Bag Backpack, Casual School College, Sports Laptop Backpack for Men, Women Outdoor Travel Lightweight Ba...",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/71wGBqWwUZL._AC_UL320_.jpg,https://www.amazon.in/MY-FAV-Digital-Waterproof-Backpack/dp/B085W9QY72/ref=sr_1_8379?qid=1679144172&s=luggage&sr=1-8379,3.9,23,₹879,"₹1,890"
12809,Hidesign,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/716ZA8UQmHL._AC_UL320_.jpg,https://www.amazon.in/Carnaby-01-Goat-Regular-MN-Blue/dp/B096FQP14K/ref=sr_1_12866?qid=1679144320&s=luggage&sr=1-12866,5.0,1,"₹4,851","₹4,895"
17558,ZAXCER Mini PU Leather Backpack 2-Pieces Cute Bowknot Small Backpack Purse Travel Backpack Handbags Multifunctional Crossb...,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/41hE52M2yoL._AC_UL320_.jpg,https://www.amazon.in/ZAXCER-Backpack-2-Pieces-Multifunctional-Crossbody/dp/B09SZF9V2M/ref=sr_1_17615?qid=1679144473&s=luggage&sr=1-17615,3.5,9,₹299,₹999
15711,Baggit Women's Tote Handbag - Large,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/51GrTjB848L._AC_UL320_.jpg,https://www.amazon.in/Baggit-Womens-Tote-Handbag-Large/dp/B0BGS3PSK1/ref=sr_1_15764?qid=1679144414&s=luggage&sr=1-15764,3.4,5,"₹1,089","₹2,590"
19119,"Samsonite Nylon Tote-a-ton Duffle Luggage (Turquoise, 32.5 Inch )",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/711DmtU0jBL._AC_UL320_.jpg,https://www.amazon.in/Samsonite-Tote-Duffle-Luggage-Turquoise/dp/B003KR1K4A/ref=sr_1_19172?qid=1679144526&s=luggage&sr=1-19172,4.6,"4,624","₹8,144","₹10,999"
8206,HAMMONDS FLYCATCHER Genuine Leather Brown Expandable Hardcase Office Briefcase Handbag with Combination Lock Protected| BR...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81o3x64+dqL._AC_UL320_.jpg,https://www.amazon.in/Flycatcher-Briefcase-Combination-Accessory-Compartment/dp/B07MM68ZD3/ref=sr_1_8215?qid=1679144166&s=luggage&sr=1-8215,3.8,50,"₹4,299","₹12,999"
7970,Tommy Hilfiger Black Men's Wallet (TH/ADONISSF01),accessories,Bags & Luggage,https://m.media-amazon.com/images/I/51go8CC0NqL._AC_UL320_.jpg,https://www.amazon.in/Tommy-Hilfiger-Wallet-TH-ADONISSF01/dp/B0868WFRQ6/ref=sr_1_7975?qid=1679144159&s=luggage&sr=1-7975,3.0,3,"₹1,624","₹2,499"
6378,"Swiss Military Combo Pack of Soft Sided Laptop Roller Case and Laptop Backpack, Laptop Trolley Bag 32 Liters Black Color, ...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/913o-BKg+JL._AC_UL320_.jpg,https://www.amazon.in/Swiss-Military-Laptop-Backpack-Trolley/dp/B0BTDN823G/ref=sr_1_6387?qid=1679144101&s=luggage&sr=1-6387,,,"₹4,869","₹11,180"
